start,outcome,consent_G0,consent_G1b,Δconsent,consent_path_G0,consent_path_G1b,total_G0,total_G1b,Δtotal,total_path_G0,total_path_G1b
LetMeChoose,ConsentSaved,1,0,-1,LetMeChoose —open modal→ Modal —click(save)→ Save → ConsentSaved,LetMeChoose —open modal→ Modal —toggle ON→ AccAnalytics → AnalyticsSvc —implicit_first_use→ ConsentSaved,3,3,0,LetMeChoose —open modal→ Modal —click(save)→ Save → ConsentSaved,LetMeChoose —open modal→ Modal —toggle ON→ AccAnalytics —click(auto_apply)→ ConsentSaved
LetMeChoose,OutcomeTelemetry,,,,,,,,,,
AcceptAll,Out_BasicAccess,,,,,,,,,,
AcceptAll,Out_SecuredLogin,,,,,,,,,,
AcceptAll,Out_AllMedia,,,,,,,,,,
AcceptAll,Out_Payments,,,,,,,,,,
AcceptAll,Out_Personalized,,,,,,,,,,
AcceptAll,Out_AllContent,,,,,,,,,,
AcceptAll,ConsentSaved,0,0,0,AcceptAll → ConsentSaved,AcceptAll → ConsentSaved,1,1,0,AcceptAll → ConsentSaved,AcceptAll → ConsentSaved
AcceptAll,OutcomeTelemetry,,,,,,,,,,
Save,Out_BasicAccess,,,,,,,,,,
Save,Out_SecuredLogin,,,,,,,,,,
Save,Out_AllMedia,,,,,,,,,,
Save,Out_Payments,,,,,,,,,,
Save,Out_Personalized,,,,,,,,,,
Save,Out_AllContent,,,,,,,,,,
Save,ConsentSaved,0,0,0,Save → ConsentSaved,Save → ConsentSaved,1,1,0,Save → ConsentSaved,Save → ConsentSaved
Save,OutcomeTelemetry,,,,,,,,,,
